"System","Path","Extension","SizeBytes","LastWriteTimeUtc"
"app",".gitignore",".gitignore","28","30-08-2026 02:47:51"
"app","build.gradle",".gradle","2194","30-08-2026 02:47:51"
"app","capacitor.build.gradle",".gradle","389","30-08-2026 02:47:51"
"app","proguard-rules.pro",".pro","772","30-08-2026 02:47:51"
"app","src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java",".java","800","30-08-2026 02:47:51"
"app","src\main\AndroidManifest.xml",".xml","1578","30-08-2026 02:47:51"
"app","src\main\java\com\ethnoverde\afrera\MainActivity.java",".java","130","30-08-2026 02:47:51"
"app","src\main\res\drawable\ic_launcher_background.xml",".xml","5776","30-08-2026 02:47:51"
"app","src\main\res\drawable\splash.png",".png","4040","30-08-2026 02:47:51"
"app","src\main\res\drawable-land-hdpi\splash.png",".png","7705","30-08-2026 02:47:51"
"app","src\main\res\drawable-land-mdpi\splash.png",".png","4040","30-08-2026 02:47:51"
"app","src\main\res\drawable-land-xhdpi\splash.png",".png","9251","30-08-2026 02:47:51"
"app","src\main\res\drawable-land-xxhdpi\splash.png",".png","13984","30-08-2026 02:47:51"
"app","src\main\res\drawable-land-xxxhdpi\splash.png",".png","17683","30-08-2026 02:47:51"
"app","src\main\res\drawable-port-hdpi\splash.png",".png","7934","30-08-2026 02:47:51"
"app","src\main\res\drawable-port-mdpi\splash.png",".png","4096","30-08-2026 02:47:51"
"app","src\main\res\drawable-port-xhdpi\splash.png",".png","9875","30-08-2026 02:47:51"
"app","src\main\res\drawable-port-xxhdpi\splash.png",".png","13346","30-08-2026 02:47:51"
"app","src\main\res\drawable-port-xxxhdpi\splash.png",".png","17489","30-08-2026 02:47:51"
"app","src\main\res\drawable-v24\ic_launcher_foreground.xml",".xml","1914","30-08-2026 02:47:51"
"app","src\main\res\layout\activity_main.xml",".xml","547","30-08-2026 02:47:51"
"app","src\main\res\mipmap-anydpi-v26\ic_launcher.xml",".xml","269","30-08-2026 02:47:51"
"app","src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml",".xml","269","30-08-2026 02:47:51"
"app","src\main\res\mipmap-hdpi\ic_launcher.png",".png","2786","30-08-2026 02:47:51"
"app","src\main\res\mipmap-hdpi\ic_launcher_foreground.png",".png","3450","30-08-2026 02:47:51"
"app","src\main\res\mipmap-hdpi\ic_launcher_round.png",".png","4341","30-08-2026 02:47:51"
"app","src\main\res\mipmap-mdpi\ic_launcher.png",".png","1869","30-08-2026 02:47:51"
"app","src\main\res\mipmap-mdpi\ic_launcher_foreground.png",".png","2110","30-08-2026 02:47:51"
"app","src\main\res\mipmap-mdpi\ic_launcher_round.png",".png","2725","30-08-2026 02:47:51"
"app","src\main\res\mipmap-xhdpi\ic_launcher.png",".png","3981","30-08-2026 02:47:51"
"app","src\main\res\mipmap-xhdpi\ic_launcher_foreground.png",".png","5036","30-08-2026 02:47:51"
"app","src\main\res\mipmap-xhdpi\ic_launcher_round.png",".png","6593","30-08-2026 02:47:51"
"app","src\main\res\mipmap-xxhdpi\ic_launcher.png",".png","6644","30-08-2026 02:47:51"
"app","src\main\res\mipmap-xxhdpi\ic_launcher_foreground.png",".png","9793","30-08-2026 02:47:51"
"app","src\main\res\mipmap-xxhdpi\ic_launcher_round.png",".png","10455","30-08-2026 02:47:51"
"app","src\main\res\mipmap-xxxhdpi\ic_launcher.png",".png","9441","30-08-2026 02:47:51"
"app","src\main\res\mipmap-xxxhdpi\ic_launcher_foreground.png",".png","15529","30-08-2026 02:47:51"
"app","src\main\res\mipmap-xxxhdpi\ic_launcher_round.png",".png","15916","30-08-2026 02:47:51"
"app","src\main\res\values\ic_launcher_background.xml",".xml","123","30-08-2026 02:47:51"
"app","src\main\res\values\strings.xml",".xml","301","30-08-2026 02:47:51"
"app","src\main\res\values\styles.xml",".xml","844","30-08-2026 02:47:51"
"app","src\main\res\xml\file_paths.xml",".xml","217","30-08-2026 02:47:51"
"app","src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java",".java","420","30-08-2026 02:47:51"
